Cod_Loc,IdProvincia,IdDepartamento,Observaciones,Categoria,Provincia,Departamento,Localidad,Título,Domicilio,CP,Web,E-Mail,Latitud,Longitud,Tipo_latitudlongitud,Fuente,tipo_gestion,Modalidad,Universidad,Facultad,Duración,Tipo de Duración,Nivel,Id Titulo,Vigencia,Temática,Año_actualizacion
06035010,06,06035,,Carreras Universitarias Culturales,Buenos Aires,Avellaneda,Avellaneda,Licenciado en Diseño Industrial,Mario Bravo 1460  ,1870,http://www.undav.edu.ar,secacad@undav.edu.ar,-34.6687835,-58.3981660,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Avellaneda,"Departamento de Arquitectura, Diseño y Urbanismo",4,Años,Grado,6903,Vigente,Diseño,2020
06035010,06,06035,,Carreras Universitarias Culturales,Buenos Aires,Avellaneda,Avellaneda,Licenciado en Diseño Industrial - Ciclo de Complementación Curricular,Mario Bravo 1460  ,1870,http://www.undav.edu.ar,secacad@undav.edu.ar,-34.6687835,-58.3981660,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Avellaneda,"Departamento de Arquitectura, Diseño y Urbanismo",2,Años,Grado,12276,Vigente,Diseño,2020
06035010,06,06035,,Carreras Universitarias Culturales,Buenos Aires,Avellaneda,Avellaneda,Técnico en Diseño de Marcas y Envases,Mario Bravo 1460  ,1870,http://www.undav.edu.ar,secacad@undav.edu.ar,-34.6687835,-58.3981660,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Avellaneda,"Departamento de Arquitectura, Diseño y Urbanismo",3,Años,Pregrado,9765,Vigente,Diseño,2020
06035010,06,06035,,Carreras Universitarias Culturales,Buenos Aires,Avellaneda,Avellaneda,Licenciado en Artes Audiovisuales,Arenales 320  ,1870,http://www.undav.edu.ar,secacad@undav.edu.ar,-34.6678523,-58.3631153,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Avellaneda,Departamento de Humanidades y Artes,4,Años,Grado,6563,Vigente,Artes Audiovisuales,2020
06035010,06,06035,,Carreras Universitarias Culturales,Buenos Aires,Avellaneda,Avellaneda,Licenciado en Periodismo - Ciclo de Complementación Curricular,España 350  ,1870,www.undav.edu.ar,secacad@undav.edu.ar,-34.6629522,-58.3722840,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Avellaneda,Departamento de Ciencias Sociales,2,Años,Grado,12343,Vigente,Medios,2020
06035010,06,06035,,Carreras Universitarias Culturales,Buenos Aires,Avellaneda,Avellaneda,Licenciado en Periodismo,España 350  ,1870,www.undav.edu.ar,secacad@undav.edu.ar,-34.6629522,-58.3722840,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Avellaneda,Departamento de Ciencias Sociales,4,Años,Grado,542,Vigente,Medios,2020
06035010,06,06035,,Carreras Universitarias Culturales,Buenos Aires,Avellaneda,Avellaneda,Técnico en Periodismo,España 350  ,1870,www.undav.edu.ar,secacad@undav.edu.ar,-34.6629522,-58.3722840,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Avellaneda,Departamento de Ciencias Sociales,3,Años,Pregrado,5196,No Vigente con Actividad,Medios,2020
06035010,06,06035,,Carreras Universitarias Culturales,Buenos Aires,Avellaneda,Avellaneda,Licenciado en Museología y Repositorios Culturales y Naturales - Ciclo de Complementación Curricular - MD,Arenales 320  ,1870,http://www.undav.edu.ar,secacad@undav.edu.ar,-34.6678523,-58.3631153,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,A Distincia,Universidad Avellaneda,Departamento de Humanidades y Artes,3,Años,Grado,9869,Vigente,Patrimonio,2020
06056010,06,06056,,Carreras Universitarias Culturales,Buenos Aires,Bahia Blanca,Bahia Blanca,Doctor en Letras,12 de Octubre y San Juan - 5 ,8000,www.uns.edu.ar,humanidades@uns.edu.ar,-38.7015173,-62.2676951,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Sur,Departamento de Humanidades,4,Años,Posgrado,1536,Vigente,Letras,2020
06056010,06,06056,,Carreras Universitarias Culturales,Buenos Aires,Bahia Blanca,Bahia Blanca,Licenciado en Letras,12 de Octubre y San Juan - 5 ,8000,www.uns.edu.ar,humanidades@uns.edu.ar,-38.7015173,-62.2676951,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Sur,Departamento de Humanidades,10,Cuatrimestres,Grado,650,Vigente,Letras,2020
06056010,06,06056,,Carreras Universitarias Culturales,Buenos Aires,Bahia Blanca,Bahia Blanca,Profesor en Letras,12 de Octubre y San Juan - 5 ,8000,www.uns.edu.ar,humanidades@uns.edu.ar,-38.7015173,-62.2676951,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Sur,Departamento de Humanidades,10,Cuatrimestres,Grado,661,Vigente,Letras,2020
06056010,06,06056,,Carreras Universitarias Culturales,Buenos Aires,Bahia Blanca,Bahia Blanca,Arquitecto,12 de octubre y San Juan - 4 ,8000,www.uns.edu.ar,geografia@uns.edu.ar,-38.7015173,-62.2676951,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Sur,Departamento de Geografía y Turismo,10,Cuatrimestres,Grado,118,Vigente,Arquitectura,2020
06056010,06,06056,,Carreras Universitarias Culturales,Buenos Aires,Bahia Blanca,Bahia Blanca,Técnico Universitario en Gestión Cultural y Emprendimientos Culturales,12 de octubre y San Juan - 4 ,8000,www.uns.edu.ar,geografia@uns.edu.ar,-38.7015173,-62.2676951,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Sur,Departamento de Geografía y Turismo,3,Años,Pregrado,6743,No Vigente con Actividad,Gestión Cultural,2020
06056010,06,06056,,Carreras Universitarias Culturales,Buenos Aires,Bahia Blanca,Bahia Blanca,Técnico Universitario en Emprendimientos Audiovisuales,Avenida Alem 1253 1 ,8000,www.uns.edu.ar,ingelec@uns.edu.ar,-38.7017270,-62.2701960,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Sur,Departamento de Ingeniería Eléctrica y de Computadoras,6,Cuatrimestres,Pregrado,5357,Vigente,Artes Audiovisuales,2020
06056010,06,06056,,Carreras Universitarias Culturales,Buenos Aires,Bahia Blanca,Bahia Blanca,Licenciado en Comunicación,Gorriti 132  Bahía Blanca,8000,http://www.unisal.edu.ar,academica@unisal.edu.ar,-38.7178870,-62.2718510,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Privado,Presencial,Universidad Salesiana,Facultad de Ciencias Sociales,5,Años,Grado,4884,Vigente,Medios,2020
06056010,06,06056,,Carreras Universitarias Culturales,Buenos Aires,Bahia Blanca,Bahia Blanca,Técnico Superior Universitario en Comunicación Digital,Gorriti 132  Bahía Blanca,8000,http://www.unisal.edu.ar,academica@unisal.edu.ar,-38.7178870,-62.2718510,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Privado,Presencial,Universidad Salesiana,Facultad de Ciencias Sociales,3,Años,Pregrado,12850,Vigente,Medios,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,Licenciado en Artes,Martín de Irigoyen 3100  ,1650,www.unsam.edu.ar,ehu.dga@unsam.edu.ar,-34.5783994,-58.5268407,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Instituto Universitario San Martín,Escuela de Humanidades - Migueletes,4,Cuatrimestres,GRADO,833,No vigente con actividad,Artes,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,Licenciado en Artes - Ciclo de complementación curricular - MD,Martín de Irigoyen 3100  ,1650,www.unsam.edu.ar,ehu.dga@unsam.edu.ar,-34.5783994,-58.5268407,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,A Distincia,Universidad San Martín,Escuela de Humanidades - Migueletes,5,Cuatrimestres,Grado,11760,Vigente,Artes,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,Magister en Historia del Arte Argentino y Latinoamericano,Martín de Irigoyen 3100  ,1650,www.idaes.edu.ar,idaes@unsam.edu.ar,-34.5783994,-58.5268407,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad San Martín,Instituto de Altos Estudios Sociales,2,Años,Posgrado,7263,Vigente,Artes,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,Licenciado en Artes Visuales,25 de Mayo 1405  San Martín,1650,www.unsam.edu.ar,alumnos.arte@unsam.edu.ar,-34.5796456,-58.5268472,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad San Martín,Instituto de Artes Mauricio Kagel,8,Cuatrimestres,Grado,844,Vigente,Artes Plásticas,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,Especialista en Literatura Infantil y Juvenil,Martín de Irigoyen 3100  ,1650,www.unsam.edu.ar,ehu.dga@unsam.edu.ar,-34.5783994,-58.5268407,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad San Martín,Escuela de Humanidades - Migueletes,3,Cuatrimestres,Posgrado,12427,Vigente,Letras,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,Licenciado en Enseñanza de la Lengua y la Literatura - Ciclo de Licenciatura,Martín de Irigoyen 3100  ,1650,www.unsam.edu.ar,ehu.dga@unsam.edu.ar,-34.5783994,-58.5268407,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad San Martín,Escuela de Humanidades - Migueletes,4,Cuatrimestres,Grado,5839,No Vigente con Actividad,Letras,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,Licenciado en Enseñanza de la Lengua y la Literatura - Ciclo de Licenciatura - MD,Martín de Irigoyen 3100  ,1650,www.unsam.edu.ar,ehu.dga@unsam.edu.ar,-34.5783994,-58.5268407,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,A Distincia,Universidad San Martín,Escuela de Humanidades - Migueletes,4,Cuatrimestres,Grado,12124,Vigente,Letras,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,Magister en Literaturas de América Latina,Martín de Irigoyen 3100  ,1650,www.unsam.edu.ar,ehu.dga@unsam.edu.ar,-34.5783994,-58.5268407,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad San Martín,Escuela de Humanidades - Migueletes,5,Cuatrimestres,Posgrado,12428,Vigente,Letras,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,Profesor Universitario en Letras,Martín de Irigoyen 3100  ,1650,www.unsam.edu.ar,ehu.dga@unsam.edu.ar,-34.5783994,-58.5268407,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad San Martín,Escuela de Humanidades - Migueletes,5,Años,Grado,2782,Vigente,Letras,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,Licenciado en Música Argentina,25 de Mayo 1405  San Martín,1650,www.unsam.edu.ar,alumnos.arte@unsam.edu.ar,-34.5796456,-58.5268472,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad San Martín,Instituto de Artes Mauricio Kagel,8,Cuatrimestres,Grado,13195,Vigente,Música,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,Intérprete en Artes Escénicas,25 de Mayo 1405  San Martín,1650,www.unsam.edu.ar,alumnos.arte@unsam.edu.ar,-34.5796456,-58.5268472,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad San Martín,Instituto de Artes Mauricio Kagel,3,Años,Pregrado,13920,Vigente,Teatro y Danza,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,Licenciado en Artes Escénicas,25 de Mayo 1405  San Martín,1650,www.unsam.edu.ar,alumnos.arte@unsam.edu.ar,-34.5796456,-58.5268472,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad San Martín,Instituto de Artes Mauricio Kagel,8,Cuatrimestres,Grado,11754,Vigente,Teatro y Danza,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,Arquitecto,25 de Mayo 1405  ,1650,www.unsa.edu.ar,arquitectura@unsam.edu.ar,-34.5796456,-58.5268472,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad San Martín,Instituto de Arquitectura y Urbanismo,11,Cuatrimestres,Grado,118,Vigente,Arquitectura,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,Especialista en Gestión Cultural y Políticas Culturales,Martín de Irigoyen 3100  ,1650,www.idaes.edu.ar,idaes@unsam.edu.ar,-34.5783994,-58.5268407,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad San Martín,Instituto de Altos Estudios Sociales,3,Cuatrimestres,Posgrado,8064,Vigente,Gestión Cultural,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,Licenciado en Cine Documental,25 de Mayo 1405  San Martín,1650,www.unsam.edu.ar,alumnos.arte@unsam.edu.ar,-34.5796456,-58.5268472,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad San Martín,Instituto de Artes Mauricio Kagel,8,Cuatrimestres,Grado,11753,Vigente,Artes Audiovisuales,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,Licenciado en Fotografía,25 de Mayo 1405  San Martín,1650,www.unsam.edu.ar,alumnos.arte@unsam.edu.ar,-34.5796456,-58.5268472,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad San Martín,Instituto de Artes Mauricio Kagel,8,Cuatrimestres,Grado,5817,Vigente,Artes Audiovisuales,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,"Especialista en Educación, Lenguajes y Medios",Martín de Irigoyen 3100  ,1650,www.unsam.edu.ar,ehu.dga@unsam.edu.ar,-34.5783994,-58.5268407,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad San Martín,Escuela de Humanidades - Migueletes,4,Cuatrimestres,Posgrado,7760,Vigente,Medios,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,"Magister en Educación, Lenguajes y Medios",Martín de Irigoyen 3100  ,1650,www.unsam.edu.ar,ehu.dga@unsam.edu.ar,-34.5783994,-58.5268407,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad San Martín,Escuela de Humanidades - Migueletes,4,Cuatrimestres,Posgrado,7757,Vigente,Medios,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,Licenciado en Antropología Social y Cultural,Martín de Irigoyen 3100  ,1650,www.idaes.edu.ar,idaes@unsam.edu.ar,-34.5783994,-58.5268407,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad San Martín,Instituto de Altos Estudios Sociales,8,Cuatrimestres,Grado,7065,Vigente,Antropologia,2020
06371010,06,06371,,Carreras Universitarias Culturales,Buenos Aires,General San Martin,San Martin,Magister en Sociología de la Cultura y Análisis Cultural,Martín de Irigoyen 3100  ,1650,www.idaes.edu.ar,idaes@unsam.edu.ar,-34.5783994,-58.5268407,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad San Martín,Instituto de Altos Estudios Sociales,4,Cuatrimestres,Posgrado,3092,Vigente,Estudios Culturales,2020
06756010,06,06756,,Carreras Universitarias Culturales,Buenos Aires,San Isidro,Beccar,Licenciado en Comunicación Social,Av. libertador 17175 - -,1643,www.usi.edu.ar,info@usi.edu.ar,-34.4611768,-58.5185749,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Privado,Presencial,Universidad San Isidro,Facultad de Ciencias Humanas y Sociales,8,Cuatrimestres,Grado,538,Vigente,Medios,2020
06658010,06,06658,,Carreras Universitarias Culturales,Buenos Aires,Quilmes,Bernal,Licenciado en Composición con Medios Electroacústicos,Roque Saenz Peña 352  ,1878,http://www.unq.edu.ar/,informacion@unq.edu.ar,-34.7061934,-58.2771241,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Quilmes,Escuela Universitaria de Artes,4.5,Años,Grado,3150,Vigente,Música,2020
06658010,06,06658,,Carreras Universitarias Culturales,Buenos Aires,Quilmes,Bernal,Licenciado en Música y Tecnología,Roque Saenz Peña 352  ,1878,http://www.unq.edu.ar/,informacion@unq.edu.ar,-34.7061934,-58.2771241,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Quilmes,Escuela Universitaria de Artes,4.5,Años,Grado,10122,Vigente,Música,2020
06658010,06,06658,,Carreras Universitarias Culturales,Buenos Aires,Quilmes,Bernal,Arquitecto,25 de Mayo 51  ,1876,www.ucalp.edu.ar,infobernal@ucalp.edu.ar,-34.7100983,-58.2825467,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Privado,Presencial,Instituto Universitario Católica de La Plata,Unidad Académica Bernal - Facultad de Arquitectura y Diseño,5,Años,GRADO,118,Vigente,Arquitectura,2020
06658010,06,06658,,Carreras Universitarias Culturales,Buenos Aires,Quilmes,Bernal,Licenciado en Diseño de Interiores,25 de Mayo 51  ,1876,www.ucalp.edu.ar,infobernal@ucalp.edu.ar,-34.7100983,-58.2825467,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Privado,Presencial,Instituto Universitario Católica de La Plata,Unidad Académica Bernal - Facultad de Arquitectura y Diseño,4,Años,GRADO,3925,No vigente con actividad,Diseño,2020
06658010,06,06658,,Carreras Universitarias Culturales,Buenos Aires,Quilmes,Bernal,Magíster en Industrias Culturales: Políticas y Gestión,Roque Saenz Peña 352  ,1876,http://www.unq.edu.ar/,informes_posgrado@unq.edu.ar,-34.7061934,-58.2771241,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Quilmes,Secretaria de Posgrado,4,Años,Posgrado,7798,Vigente,Gestión Cultural,2020
06658010,06,06658,,Carreras Universitarias Culturales,Buenos Aires,Quilmes,Bernal,Licenciado en Artes Digitales,Roque Saenz Peña 352  ,1878,http://www.unq.edu.ar/,informacion@unq.edu.ar,-34.7061934,-58.2771241,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Quilmes,Escuela Universitaria de Artes,5.5,Años,Grado,12918,Vigente,Artes Audiovisuales,2020
06658010,06,06658,,Carreras Universitarias Culturales,Buenos Aires,Quilmes,Bernal,Licenciado en Artes y Tecnologías - Ciclo de Complementación  - MD,Roque Saenz Peña 352  ,1878,http://www.unq.edu.ar/,informacion@unq.edu.ar,-34.7061934,-58.2771241,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,A Distincia,Universidad Quilmes,Escuela Universitaria de Artes,3,Años,Grado,11533,Vigente,Artes Audiovisuales,2020
06658010,06,06658,,Carreras Universitarias Culturales,Buenos Aires,Quilmes,Bernal,Licenciado en Comunicación Social,Roque Saenz Peña 352  ,1876,http://www.unq.edu.ar/,informacion@unq.edu.ar,-34.7061934,-58.2771241,Precisa,Departamento de Información Universitaria - Dirección Nacional de Presupuesto e Información Universitaria - Secretaría de Políticas Universitarias,Estatal,Presencial,Universidad Quilmes,Departamento de Ciencias Sociales,4.5,Años,Grado,538,Vigente,Medios,2020
